cow_id,name,breed,age_years,parity,days_in_milk,baseline_yield_liters,milk_yield_liters,yield_drop_pct,ec_lf,ec_rf,ec_lh,ec_rh,max_ec,ec_variance,scc,body_temp_c,milk_ph,udder_swelling,kicking_behavior,subclinical_quarter,risk_level,financial_loss_inr,recommended_action,phytotherapy_recipe
COW-1525,Meera,Sahiwal,2.9,2,30,16.8,16.1,3.9,4.67,4.9,4.78,4.76,4.9,0.23,126907,38.4,6.56,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1526,Tulsi,Rathi,5.9,4,69,15.1,4.7,68.8,7.02,7.07,7.4,7.35,7.4,0.38,1396321,40.1,7.35,2,1,LF,HIGH,51960,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1527,Lakshmi,Rathi,7.9,2,225,15.5,15.3,1.3,4.68,4.75,4.73,4.94,4.94,0.26,118316,38.7,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1528,Kamdhenu,Tharparkar,5.1,1,177,10.9,10.9,0.0,5.05,4.98,5.13,5.03,5.13,0.15,145670,38.2,6.51,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1529,Lakshmi,Murrah Buffalo,9.3,6,243,13.9,10.9,21.4,4.67,6.08,4.75,4.67,6.08,1.41,330006,39.2,7.0,1,0,RF,MEDIUM,9806,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1530,Radha,Sahiwal,4.2,4,57,14.1,14.0,0.7,4.7,4.78,4.87,4.63,4.87,0.24,152331,38.6,6.47,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1531,Radha,Tharparkar,8.1,6,170,15.4,12.8,16.8,5.13,5.04,6.71,5.15,6.71,1.67,264855,38.6,6.81,1,0,LH,MEDIUM,8929,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1532,Surabhi,Red Sindhi,5.1,2,234,13.8,13.8,0.0,4.95,4.86,4.85,4.87,4.95,0.1,113476,38.2,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1533,Devi,Tharparkar,6.2,6,280,10.5,10.5,0.0,4.64,4.49,4.69,4.6,4.69,0.2,138373,38.9,6.52,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1534,Radha,Red Sindhi,4.2,4,163,13.4,13.4,0.0,5.05,5.05,5.02,5.04,5.05,0.03,119989,38.7,6.7,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1535,Tulsi,Rathi,8.2,3,142,13.5,10.7,20.5,6.04,4.66,4.66,4.72,6.04,1.38,354768,38.7,6.81,1,1,LF,MEDIUM,9877,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1536,Tulsi,Tharparkar,7.8,4,147,12.0,5.4,55.2,6.67,7.21,6.78,7.03,7.21,0.54,2125520,39.6,7.29,2,1,RF,HIGH,35695,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1537,Surabhi,Gir,2.6,6,256,16.8,16.5,2.0,4.97,4.96,4.84,4.99,4.99,0.15,146369,38.7,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1538,Sita,Murrah Buffalo,7.3,6,214,16.8,16.4,2.4,4.49,4.68,4.64,4.49,4.68,0.19,116292,38.6,6.56,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1539,Lakshmi,Sahiwal,5.9,2,135,16.6,13.5,18.9,4.82,6.85,4.72,4.63,6.85,2.22,294127,38.9,6.82,1,1,RF,MEDIUM,9080,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1540,Lakshmi,Red Sindhi,5.6,2,115,11.8,9.6,18.8,4.58,4.76,4.79,6.77,6.77,2.19,398823,38.8,6.72,1,0,RH,MEDIUM,9078,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1541,Surabhi,Tharparkar,6.1,6,261,11.4,11.3,0.6,4.53,4.53,4.44,4.56,4.56,0.12,174167,38.3,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1542,Devi,Tharparkar,3.3,5,189,12.7,12.3,3.1,4.66,4.59,4.58,4.6,4.66,0.08,178105,38.2,6.7,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1543,Sita,HF Cross,4.9,5,251,19.0,18.6,2.3,5.06,5.03,4.98,5.0,5.06,0.08,137813,38.5,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1544,Bhavani,Tharparkar,8.1,2,118,11.7,10.1,13.6,4.67,4.8,4.64,6.96,6.96,2.32,365165,38.9,6.83,0,0,RH,MEDIUM,6297,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1545,Nandini,Murrah Buffalo,5.0,2,101,17.0,7.3,57.0,8.02,7.88,7.95,8.15,8.15,0.27,1130931,40.1,7.22,2,2,LF,HIGH,42320,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1546,Bhavani,Gir,7.9,5,148,19.4,5.1,73.7,7.47,7.44,7.98,7.89,7.98,0.54,1596819,40.4,7.05,2,1,Both Hind,HIGH,46584,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1547,Bhavani,Rathi,6.8,1,33,13.0,12.9,0.9,4.48,4.53,4.64,4.63,4.64,0.16,152956,38.5,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1548,Bhavani,Rathi,6.0,1,90,13.9,13.6,2.1,4.69,4.56,4.56,4.66,4.69,0.13,169343,38.7,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1549,Meera,Red Sindhi,8.2,3,158,13.0,12.6,2.8,4.8,4.68,4.77,4.62,4.8,0.18,95992,38.2,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1550,Bhavani,Rathi,5.5,2,82,14.8,14.5,2.3,4.73,4.85,4.83,4.7,4.85,0.15,163359,38.6,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1551,Lakshmi,Tharparkar,3.5,1,276,15.7,15.3,2.6,4.83,4.59,4.56,4.77,4.83,0.27,107548,38.6,6.63,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1552,Gauri,HF Cross,3.6,5,41,25.8,7.6,70.6,8.54,8.2,8.48,8.37,8.54,0.34,1616119,40.5,7.3,2,2,Both Front,HIGH,48938,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1553,Lakshmi,Red Sindhi,4.5,5,87,14.2,14.0,1.3,4.64,4.71,4.67,4.68,4.71,0.07,167455,38.5,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1554,Devi,Red Sindhi,8.0,4,113,15.3,15.3,0.3,4.79,4.89,4.94,4.83,4.94,0.15,103928,38.4,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1555,Yamuna,Murrah Buffalo,4.0,5,171,15.1,12.8,15.1,4.83,6.22,4.64,4.81,6.22,1.58,298442,38.5,6.84,0,0,RF,MEDIUM,8508,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1556,Nandini,Murrah Buffalo,6.9,3,75,12.3,10.2,17.0,6.87,4.78,4.88,4.85,6.87,2.09,320084,38.6,6.87,0,1,LF,MEDIUM,8062,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1557,Radha,HF Cross,8.0,6,83,23.7,23.6,0.3,4.6,4.67,4.75,4.61,4.75,0.15,162814,38.2,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1558,Kamdhenu,Sahiwal,7.5,4,53,14.6,14.4,1.1,4.49,4.45,4.63,4.55,4.63,0.18,97103,38.7,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1559,Yamuna,Rathi,8.0,3,267,13.8,7.7,44.4,8.36,8.65,8.56,8.15,8.65,0.5,600000,40.5,7.06,2,2,Both Front,HIGH,32319,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1560,Tulsi,Rathi,8.5,1,120,12.7,12.7,0.0,4.61,4.72,4.48,4.7,4.72,0.24,132097,38.6,6.66,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1561,Kamdhenu,Gir,5.1,3,32,17.1,16.5,3.4,4.65,4.62,4.54,4.58,4.65,0.11,50000,38.5,6.69,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1562,Bhavani,Rathi,5.5,3,157,11.3,9.6,15.4,4.72,4.57,4.56,6.21,6.21,1.65,334676,38.7,6.88,1,1,RH,MEDIUM,7863,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1563,Kalyani,HF Cross,8.3,2,82,22.0,21.3,3.1,4.75,4.88,4.72,4.86,4.88,0.16,95925,38.6,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1564,Gauri,Rathi,5.4,2,214,12.0,11.8,1.5,4.89,4.84,4.78,4.8,4.89,0.11,195000,38.6,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1565,Lakshmi,Rathi,6.9,6,170,13.4,13.3,0.7,4.74,4.87,4.86,4.7,4.87,0.17,68082,38.4,6.56,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1566,Sita,Rathi,3.8,4,269,15.4,15.2,1.5,4.97,4.92,5.15,4.99,5.15,0.23,135332,38.3,6.65,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1567,Tulsi,Red Sindhi,8.7,4,55,14.8,12.4,16.3,4.99,5.12,4.95,6.22,6.22,1.27,319348,38.7,6.83,1,1,RH,MEDIUM,7391,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1568,Kamdhenu,Gir,6.3,3,85,15.1,13.5,10.7,4.83,6.08,4.89,4.8,6.08,1.28,377756,38.6,6.77,1,0,RF,MEDIUM,5900,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1569,Ganga,Tharparkar,8.8,3,204,15.6,7.3,53.5,7.06,6.96,6.9,7.06,7.06,0.16,1093695,39.7,7.13,2,1,LF,HIGH,39162,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1570,Lakshmi,Murrah Buffalo,5.8,4,45,14.9,14.6,1.8,4.76,4.57,4.78,4.69,4.78,0.21,113332,38.7,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1571,Meera,Red Sindhi,6.4,2,167,13.4,13.2,1.3,5.01,5.09,4.9,5.02,5.09,0.19,159781,38.5,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1572,Ganga,Red Sindhi,4.2,4,243,10.3,8.4,18.2,4.93,4.89,6.48,4.96,6.48,1.59,338575,38.7,6.72,1,0,LH,MEDIUM,9068,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1573,Kalyani,Rathi,4.5,2,285,13.4,13.0,2.9,4.62,4.63,4.75,4.67,4.75,0.13,125300,38.8,6.64,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1574,Surabhi,Sahiwal,6.8,3,187,17.8,6.9,61.0,7.25,7.7,7.31,7.38,7.7,0.45,1632645,40.2,7.28,2,1,Both Front,HIGH,40690,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1575,Gauri,Gir,6.8,1,16,18.0,17.4,3.3,5.1,5.12,5.05,5.12,5.12,0.07,108382,38.4,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1576,Gauri,HF Cross,3.0,1,239,23.4,22.8,2.4,5.09,4.95,4.89,5.07,5.09,0.2,125119,38.4,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1577,Tulsi,Gir,3.4,3,110,16.7,16.7,0.0,4.45,4.64,4.47,4.39,4.64,0.25,79465,38.2,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1578,Sita,HF Cross,4.6,6,125,19.9,19.2,3.7,4.65,4.84,4.78,4.63,4.84,0.21,112215,38.5,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1579,Meera,Red Sindhi,7.0,1,154,13.4,13.4,0.0,4.88,4.85,4.89,4.85,4.89,0.04,141436,38.6,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1580,Kamdhenu,Rathi,3.4,1,77,11.6,11.6,0.0,4.64,4.72,4.54,4.69,4.72,0.18,166368,38.5,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1581,Tulsi,HF Cross,6.2,3,244,18.0,18.0,0.1,4.95,5.01,4.85,5.01,5.01,0.16,75618,38.7,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1582,Surabhi,Murrah Buffalo,3.4,5,250,15.0,14.4,4.0,4.59,4.39,4.65,4.54,4.65,0.26,99561,38.7,6.51,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1583,Nandini,Gir,5.2,3,53,19.3,15.9,17.5,5.17,6.7,5.11,5.09,6.7,1.61,256956,39.0,6.79,0,0,RF,MEDIUM,8607,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1584,Surabhi,Red Sindhi,2.7,6,183,15.0,14.8,1.6,4.92,4.88,4.88,4.79,4.92,0.13,151111,38.4,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1585,Meera,Gir,7.9,5,236,18.6,16.5,11.5,6.01,4.6,4.69,4.85,6.01,1.41,249846,39.0,6.78,1,0,LF,MEDIUM,6142,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1586,Sita,HF Cross,5.5,1,40,22.5,22.2,1.2,4.61,4.8,4.65,4.76,4.8,0.19,121999,38.3,6.45,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1587,Gauri,Rathi,2.6,4,249,14.8,5.8,60.6,6.79,6.81,6.42,6.71,6.81,0.39,2044415,40.5,7.25,2,1,Both Hind,HIGH,39982,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1588,Lakshmi,Rathi,7.5,5,111,15.4,15.4,0.0,4.76,4.8,4.84,4.71,4.84,0.13,120798,38.5,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1589,Ganga,Red Sindhi,2.8,2,171,13.5,13.2,2.2,4.85,4.92,4.9,4.78,4.92,0.14,169001,38.6,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1590,Kapila,Murrah Buffalo,6.7,3,200,17.8,17.6,1.0,4.79,4.82,4.99,4.91,4.99,0.2,130686,38.6,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1591,Lakshmi,Tharparkar,4.9,2,115,14.7,14.7,0.0,4.96,5.05,4.93,4.85,5.05,0.2,109923,38.5,6.67,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1592,Sita,Rathi,9.2,5,165,12.5,12.3,1.8,4.86,4.64,4.69,4.62,4.86,0.24,78636,38.5,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1593,Meera,HF Cross,4.1,5,121,19.9,17.1,14.3,5.07,5.07,6.31,4.96,6.31,1.35,337076,38.7,6.94,0,0,LH,MEDIUM,7100,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1594,Kapila,Sahiwal,6.9,3,34,19.9,19.9,0.0,4.59,4.6,4.57,4.77,4.77,0.2,73968,38.3,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1595,Meera,Sahiwal,3.9,2,146,19.5,19.1,1.8,4.87,4.99,4.79,5.04,5.04,0.25,123845,38.8,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1596,Radha,Tharparkar,4.2,3,99,15.6,5.0,67.8,8.49,8.0,8.05,8.52,8.52,0.52,758942,40.0,7.19,2,1,Both Hind,HIGH,50625,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1597,Surabhi,HF Cross,5.1,5,231,25.8,25.8,0.0,4.56,4.43,4.54,4.61,4.61,0.18,118879,38.8,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1598,Nandini,Sahiwal,2.9,3,76,19.1,8.1,57.8,6.67,6.9,7.02,6.66,7.02,0.36,1286276,40.4,7.42,2,2,RH,HIGH,45068,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1599,Yamuna,Tharparkar,3.8,6,203,13.2,13.2,0.0,5.07,5.1,5.11,5.16,5.16,0.09,185318,38.3,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1600,Gauri,Gir,4.0,2,243,19.2,18.9,1.4,4.8,4.71,4.81,4.65,4.81,0.16,121809,38.6,6.64,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1601,Yamuna,Gir,3.4,1,163,16.7,15.9,4.6,4.84,4.89,4.83,4.84,4.89,0.06,118805,38.5,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1602,Surabhi,Murrah Buffalo,8.1,3,151,14.3,14.1,1.5,4.68,4.6,4.51,4.74,4.74,0.23,73731,38.5,6.7,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1603,Yamuna,Rathi,7.0,3,128,10.6,10.2,3.6,4.43,4.43,4.47,4.46,4.47,0.04,123348,38.4,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1604,Kalyani,Red Sindhi,7.3,3,109,14.2,4.6,67.4,8.23,7.68,7.86,8.17,8.23,0.55,600000,40.8,7.05,2,2,Both Front,HIGH,48347,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1605,Kalyani,Rathi,7.8,1,253,13.9,5.5,60.5,8.07,8.36,8.06,8.07,8.36,0.3,1106671,40.0,7.34,2,2,RF,HIGH,45809,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1606,Nandini,Red Sindhi,3.1,2,231,14.6,11.8,18.9,5.03,6.42,4.81,5.03,6.42,1.61,210000,38.9,6.98,1,1,RF,MEDIUM,8810,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1607,Meera,Tharparkar,5.5,4,287,11.8,11.6,2.1,4.7,4.73,4.98,4.99,4.99,0.29,82288,38.5,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1608,Sita,HF Cross,8.1,5,212,25.8,24.7,4.2,4.74,4.64,4.62,4.76,4.76,0.14,130670,38.4,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1609,Kapila,HF Cross,8.8,1,99,18.8,18.8,0.1,4.58,4.52,4.43,4.39,4.58,0.19,123318,38.6,6.5,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1610,Surabhi,Murrah Buffalo,3.9,3,280,12.4,12.3,1.0,4.71,4.92,4.78,4.71,4.92,0.21,146534,38.8,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1611,Kamdhenu,Sahiwal,6.3,4,47,16.3,6.3,61.1,6.58,6.72,6.89,6.74,6.89,0.31,1199751,39.7,7.34,2,2,RF,HIGH,48175,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
